t matrices
d mo11
a matrix=mo11 sqmi 0 zcentroid sqmi
1 all:0.063324
2 all:0.062785
3 all:0.064079
4 all:0.062503
5 all:0.063458
6 all:0.06384
7 all:0.530526
8 all:0.064217
9 all:0.063366
10 all:0.064222
11 all:0.063109
12 all:0.062648
13 all:0.062441
14 all:0.064009
15 all:0.063635
16 all:0.063722
17 all:0.063604
18 all:0.063423
19 all:0.176763
20 all:0.062663
21 all:0.06329
22 all:0.063165
23 all:0.063328
24 all:0.063154
25 all:0.156921
26 all:0.064475
27 all:0.064263
28 all:0.064272
29 all:0.064464
30 all:0.064096
31 all:0.230498
32 all:0.063403
33 all:0.062287
34 all:0.062976
35 all:0.062376
36 all:0.062407
37 all:0.067757
38 all:0.06533
39 all:0.066869
40 all:0.065471
41 all:0.066166
42 all:0.250366
43 all:0.061739
44 all:0.058784
45 all:0.06155
46 all:0.059377
47 all:0.059831
48 all:0.250738
49 all:0.251024
50 all:0.252613
51 all:0.25359
52 all:0.161606
53 all:0.250356
54 all:0.250357
55 all:0.251508
56 all:0.25149
57 all:0.294269
58 all:0.252895
59 all:0.252495
60 all:0.252737
61 all:0.252353
62 all:0.253464
63 all:0.253639
64 all:0.253569
65 all:0.253775
66 all:0.251555
67 all:0.251412
68 all:0.250555
69 all:0.25079
70 all:0.251933
71 all:0.359155
72 all:0.252122
73 all:0.252006
74 all:0.250483
75 all:0.25069
76 all:0.251872
77 all:0.342359
78 all:0.255775
79 all:0.250901
80 all:0.250028
81 all:0.249929
82 all:0.251721
83 all:0.312094
84 all:0.256464
85 all:0.250898
86 all:0.250165
87 all:0.250069
88 all:0.251385
89 all:0.454496
90 all:0.257602
91 all:0.251178
92 all:0.255213
93 all:0.249875
94 all:0.257795
95 all:0.252196
96 all:0.259019
97 all:0.252155
98 all:0.259825
99 all:0.252453
100 all:0.260213
101 all:0.252436
102 all:0.258577
103 all:0.250655
104 all:0.256964
105 all:0.250638
106 all:0.253428
107 all:0.250056
108 all:0.252273
109 all:0.252829
110 all:0.251691
111 all:0.251605
112 all:0.251355
113 all:0.258218
114 all:0.250093
115 all:0.250056
116 all:0.252048
117 all:0.252602
118 all:0.252531
119 all:0.252453
120 all:0.250843
121 all:0.294953
122 all:1.00448
123 all:0.846757
124 all:0.996522
125 all:2.60185
126 all:1.50985
127 all:0.809289
128 all:0.74815
129 all:0.792761
130 all:0.998486
131 all:0.25411
132 all:0.254151
133 all:1.031812
134 all:0.254457
135 all:0.254163
136 all:0.254767
137 all:1.040714
138 all:1.009526
139 all:1.020185
140 all:1.002257
141 all:0.251444
142 all:0.250907
143 all:0.250409
144 all:0.250093
145 all:0.250032
146 all:0.250369
147 all:0.254788
148 all:0.254804
149 all:0.290851
150 all:0.290191
151 all:1.014862
152 all:1.022445
153 all:0.253511
154 all:0.255072
155 all:0.251903
156 all:0.252433
157 all:0.251002
158 all:0.251676
159 all:0.251771
160 all:0.25659
161 all:0.241422
162 all:0.242276
163 all:0.241717
164 all:0.248267
165 all:0.241779
166 all:0.428422
167 all:0.244693
168 all:0.249019
169 all:0.24381
170 all:0.248127
171 all:0.251991
172 all:0.254227
173 all:0.25465
174 all:0.251945
175 all:0.253151
176 all:0.130581
177 all:0.252895
178 all:0.172912
179 all:0.247154
180 all:0.246018
181 all:0.247608
182 all:0.249855
183 all:0.249459
184 all:0.246256
185 all:0.24379
186 all:0.249456
187 all:0.260479
188 all:0.257678
189 all:0.252548
190 all:0.257645
191 all:0.25156
192 all:0.253428
193 all:0.258014
194 all:0.25347
195 all:0.252513
196 all:0.249355
197 all:0.251136
198 all:0.251195
199 all:0.249439
200 all:0.252106
201 all:0.250721
202 all:0.250732
203 all:0.98995
204 all:0.249751
205 all:0.292205
206 all:0.249535
207 all:0.248246
208 all:0.254778
209 all:0.266748
210 all:0.275243
211 all:0.267935
212 all:0.253745
213 all:0.509713
214 all:0.254325
215 all:0.252664
216 all:0.252737
217 all:0.253
218 all:0.253092
219 all:0.253083
220 all:0.252396
221 all:0.253353
222 all:0.252096
223 all:0.276669
224 all:0.29064
225 all:1.060589
226 all:0.256787
227 all:0.256938
228 all:0.2569
229 all:0.257063
230 all:0.255368
231 all:0.255686
232 all:0.255044
233 all:0.255355
234 all:0.253232
235 all:0.253866
236 all:0.253692
237 all:0.253402
238 all:0.254741
239 all:0.253978
240 all:0.254449
241 all:0.253658
242 all:0.287318
243 all:0.287043
244 all:0.252502
245 all:0.25251
246 all:0.253537
247 all:0.253614
248 all:0.253425
249 all:0.253684
250 all:0.255239
251 all:0.255964
252 all:0.256141
253 all:0.25508
254 all:0.255079
255 all:0.255929
256 all:0.25566
257 all:0.255378
258 all:0.253469
259 all:0.253152
260 all:0.253431
261 all:0.253761
262 all:0.253477
263 all:0.253829
264 all:0.2539
265 all:0.254265
266 all:0.251544
267 all:0.251518
268 all:0.284779
269 all:0.285827
270 all:1.012741
271 all:1.021723
272 all:0.254374
273 all:0.255728
274 all:0.255586
275 all:0.254529
276 all:0.253867
277 all:0.254145
278 all:0.253901
279 all:0.254185
280 all:0.253976
281 all:0.254594
282 all:0.253745
283 all:0.254334
284 all:0.252599
285 all:0.252601
286 all:0.289448
287 all:0.289044
288 all:0.253029
289 all:0.253515
290 all:0.253265
291 all:0.253154
292 all:0.255239
293 all:0.253804
294 all:0.253699
295 all:0.255146
296 all:0.254413
297 all:0.255252
298 all:0.255459
299 all:0.254218
300 all:0.254289
301 all:0.253751
302 all:0.254089
303 all:0.253937
304 all:0.252725
305 all:0.252361
306 all:0.252364
307 all:0.252723
308 all:0.503563
309 all:0.25457
310 all:0.256999
311 all:0.267522
312 all:0.209613
313 all:0.250398
314 all:0.253467
315 all:0.252297
316 all:0.25138
317 all:0.25136
318 all:0.253887
319 all:0.252317
320 all:0.252294
321 all:0.251533
322 all:0.177885
323 all:0.334898
324 all:0.252077
325 all:0.251921
326 all:0.2519
327 all:0.252602
328 all:0.251174
329 all:0.251839
330 all:0.25133
331 all:0.251695
332 all:0.839156
333 all:0.252158
334 all:0.251129
335 all:0.250934
336 all:0.252179
337 all:0.252397
338 all:0.252256
339 all:0.252423
340 all:0.252583
341 all:0.426785
342 all:0.311355
343 all:0.254619
344 all:0.252398
345 all:0.250931
346 all:0.250925
347 all:0.250457
348 all:0.250555
349 all:0.250119
350 all:0.250217
351 all:0.241862
352 all:0.251068
353 all:0.271822
354 all:0.251491
355 all:0.99629
356 all:0.253899
357 all:0.256681
358 all:0.253908
359 all:0.258193
360 all:0.254145
361 all:0.253596
362 all:0.255163
363 all:0.25363
364 all:0.252722
365 all:0.253911
366 all:0.251391
367 all:0.251387
368 all:0.257502
369 all:0.253676
370 all:0.258092
371 all:0.253686
372 all:0.25449
373 all:0.254981
374 all:0.255282
375 all:0.255207
376 all:0.254188
377 all:0.254137
378 all:0.255937
379 all:0.256411
380 all:0.255202
381 all:0.254745
382 all:0.254413
383 all:0.253996
384 all:0.254584
385 all:0.253866
386 all:0.254828
387 all:0.255038
388 all:0.254879
389 all:0.254991
390 all:0.254754
391 all:0.253943
392 all:0.25323
393 all:0.253633
394 all:0.25451
395 all:0.254114
396 all:0.255501
397 all:0.255121
398 all:0.255364
399 all:0.254976
400 all:0.252923
401 all:0.252368
402 all:0.253056
403 all:0.252513
404 all:0.254254
405 all:0.254292
406 all:0.254541
407 all:0.254591
408 all:0.254849
409 all:0.255077
410 all:0.253617
411 all:0.253836
412 all:0.253392
413 all:0.253783
414 all:0.253541
415 all:0.253931
416 all:0.255064
417 all:0.254458
418 all:0.255169
419 all:0.254346
420 all:0.253542
421 all:0.253452
422 all:0.253291
423 all:0.253713
424 all:0.253973
425 all:0.253415
426 all:0.253575
427 all:0.254147
428 all:0.254239
429 all:0.254219
430 all:0.253438
431 all:0.254993
432 all:1.008056
433 all:0.253897
434 all:0.254301
435 all:0.254067
436 all:0.254469
437 all:0.256413
438 all:0.256725
439 all:0.255595
440 all:0.255288
441 all:0.251724
442 all:0.254737
443 all:0.251732
444 all:0.252299
445 all:0.252996
446 all:0.253141
447 all:0.253272
448 all:0.253142
449 all:0.253414
450 all:0.253728
451 all:0.253472
452 all:0.253688
453 all:0.252757
454 all:0.245336
455 all:0.252086
456 all:0.25238
457 all:0.251688
458 all:0.122048
459 all:1.006886
460 all:0.252421
461 all:0.252418
462 all:0.251711
463 all:0.251444
464 all:0.252075
465 all:0.251563
466 all:0.252758
467 all:0.252752
468 all:1.023981
469 all:0.254275
470 all:0.253459
471 all:0.2539
472 all:0.25339
473 all:0.253843
474 all:0.25472
475 all:0.25488
476 all:0.255109
477 all:0.254476
478 all:0.255365
479 all:0.254908
480 all:0.254928
481 all:0.255339
482 all:0.253458
483 all:0.25463
484 all:0.254189
485 all:0.253872
486 all:0.252358
487 all:0.260784
488 all:0.263654
489 all:0.263116
490 all:0.251105
491 all:0.252372
492 all:1.020942
493 all:1.015107
494 all:1.018045
495 all:0.251557
496 all:0.251446
497 all:0.253961
498 all:0.254697
499 all:0.255293
500 all:0.254542
501 all:1.017682
502 all:1.020025
503 all:1.014383
504 all:0.254975
505 all:0.254897
506 all:0.25502
507 all:0.255123
508 all:0.252677
509 all:0.506696
510 all:0.253876
511 all:0.254278
512 all:0.253444
513 all:0.25519
514 all:0.254341
515 all:1.016528
516 all:1.014968
517 all:1.020058
518 all:0.253535
519 all:0.251977
520 all:0.253801
521 all:0.252255
522 all:1.021139
523 all:0.253665
524 all:0.253003
525 all:0.249869
526 all:0.254475
527 all:1.0126
528 all:0.251284
529 all:0.251293
530 all:0.254188
531 all:0.251199
532 all:0.249495
533 all:0.251725
534 all:0.251714
535 all:0.249489
536 all:0.366922
537 all:0.253703
538 all:0.25035
539 all:0.251092
540 all:0.251101
541 all:0.253696
542 all:0.254365
543 all:0.25189
544 all:0.251886
545 all:0.252072
546 all:0.252069
547 all:1.010818
548 all:0.253547
549 all:0.253197
550 all:0.25287
551 all:0.253213
552 all:0.252581
553 all:0.251836
554 all:0.253138
555 all:0.251257
556 all:0.154836
557 all:0.263275
558 all:0.255883
559 all:0.252822
560 all:0.252824
561 all:0.254811
562 all:1.010885
563 all:1.012787
564 all:0.253357
565 all:0.252649
566 all:0.252322
567 all:0.253673
568 all:0.25422
569 all:0.253141
570 all:0.253593
571 all:0.252509
572 all:0.3661
573 all:0.280788
574 all:1.002096
575 all:1.007132
576 all:0.252938
577 all:0.252917
578 all:0.252493
579 all:0.252497
580 all:0.251135
581 all:0.251134
582 all:0.251587
583 all:0.251607
584 all:0.504552
585 all:0.252201
586 all:0.252032
587 all:0.254246
588 all:0.206462
589 all:0.230366
590 all:0.252326
591 all:0.253526
592 all:1.004864
593 all:0.251728
594 all:0.251514
595 all:0.251673
596 all:0.251473
597 all:1.009384
598 all:1.004713
599 all:0.252283
600 all:0.252806
601 all:0.252499
602 all:0.25302
603 all:0.255475
604 all:0.255436
605 all:0.255118
606 all:0.255802
607 all:1.006681
608 all:1.005969
609 all:0.254174
610 all:0.253122
611 all:0.252873
612 all:0.253917
613 all:0.25253
614 all:0.252742
615 all:0.252407
616 all:0.252881
617 all:0.253075
618 all:0.252465
619 all:0.252497
620 all:0.253002
621 all:1.012626
622 all:0.576297
623 all:0.247447
624 all:0.252398
625 all:0.249968
626 all:0.249985
627 all:0.253319
628 all:0.251908
629 all:0.892694
630 all:0.254305
631 all:1.016583
632 all:1.02786
633 all:1.008307
634 all:1.019238
635 all:1.02557
636 all:0.255378
637 all:0.252885
638 all:0.249889
639 all:0.258434
640 all:1.016569
641 all:0.251643
642 all:0.256066
643 all:0.255239
644 all:0.251664
645 all:1.003598
646 all:0.250637
647 all:0.254453
648 all:0.250631
649 all:0.254649
650 all:1.013477
651 all:1.006831
652 all:1.012712
653 all:1.00882
654 all:0.252075
655 all:0.251958
656 all:0.250457
657 all:0.250547
658 all:0.251575
659 all:0.251609
660 all:0.25181
661 all:0.25176
662 all:0.248187
663 all:0.295279
664 all:1.302197
665 all:0.255718
666 all:0.256928
667 all:0.250956
668 all:0.25097
669 all:0.252916
670 all:0.252883
671 all:1.00901
672 all:1.002664
673 all:0.253718
674 all:0.253837
675 all:0.254403
676 all:0.254523
677 all:2.321251
678 all:1.300136
679 all:0.289722
680 all:1.007093
681 all:1.009613
682 all:0.998748
683 all:1.249519
684 all:1.340115
685 all:0.991959
686 all:0.255496
687 all:0.255008
688 all:1.195989
689 all:0.253912
690 all:1.008919
691 all:0.252268
692 all:0.252094
693 all:0.251155
694 all:0.251324
695 all:1.004799
696 all:0.999466
697 all:0.253874
698 all:0.891662
699 all:0.256986
700 all:1.300822
701 all:0.436271
702 all:0.984245
703 all:0.153674
704 all:0.257772
705 all:0.252287
706 all:0.150396
707 all:1.011074
708 all:0.804899
709 all:0.995633
710 all:0.796843
711 all:1.005959
712 all:0.784111
713 all:0.254241
714 all:0.249694
715 all:0.258712
716 all:0.249678
717 all:0.763376
718 all:4.045379
719 all:4.066045
720 all:4.056827
721 all:3.968462
722 all:3.987308
723 all:3.98391
724 all:3.990729
725 all:3.981074
726 all:3.973963
727 all:3.183434
728 all:2.915806
729 all:2.896376
730 all:1.059293
731 all:1.067699
732 all:1.046387
733 all:1.05515
734 all:3.995906
735 all:4.105256
736 all:4.150545
737 all:4.058191
738 all:1.03036
739 all:0.250521
740 all:0.250471
741 all:0.250866
742 all:0.250914
743 all:1.02017
744 all:0.250465
745 all:0.253009
746 all:0.251484
747 all:0.251981
748 all:3.999873
749 all:3.998239
750 all:0.250453
751 all:0.250786
752 all:0.251799
753 all:0.250485
754 all:0.253488
755 all:0.253229
756 all:0.250848
757 all:0.250856
758 all:1.004156
759 all:0.251414
760 all:0.250474
761 all:0.251683
762 all:0.250795
763 all:3.991732
764 all:1.017265
765 all:0.248458
766 all:0.247584
767 all:0.246741
768 all:0.247594
769 all:1.003154
770 all:1.006631
771 all:1.014458
772 all:0.992449
773 all:0.997959
774 all:0.252544
775 all:0.252595
776 all:0.252555
777 all:0.252589
778 all:3.997542
779 all:1.019689
780 all:0.249439
781 all:0.249872
782 all:0.249647
783 all:0.249202
784 all:1.000747
785 all:1.007819
786 all:1.00908
787 all:0.250374
788 all:0.25122
789 all:0.250761
790 all:0.249781
791 all:1.002083
792 all:1.005643
793 all:0.857635
794 all:0.698383
795 all:0.524968
796 all:0.402425
797 all:0.781888
798 all:0.721293
799 all:0.665007
800 all:0.308931
801 all:0.302178
802 all:0.515805
803 all:0.512161
804 all:0.518926
805 all:0.509992
806 all:0.796191
807 all:1.006232
808 all:0.256701
809 all:0.256461
810 all:0.254984
811 all:0.254769
812 all:1.023514
813 all:0.255777
814 all:0.252793
815 all:0.255705
816 all:0.252838
817 all:0.997758
818 all:0.808125
819 all:1.016815
820 all:1.020111
821 all:1.021845
822 all:1.03407
823 all:0.251245
824 all:0.251406
825 all:0.252519
826 all:0.250161
