trip_type,wfh_flag,cbd,weight_formula
1,0,1,1 * total_employment * low_earner_share
1,0,0,0.755 * total_employment * low_earner_share
1,1,1,1 * total_employment * low_earner_share
1,1,0,0.755 * total_employment * low_earner_share
2,0,1,1 * total_employment * high_earner_share
2,0,0,0.755 * total_employment * high_earner_share
2,1,1,1 * total_employment * high_earner_share
2,1,0,0.755 * total_employment * high_earner_share
3,0,1,1 * retail_employment + 0.241 * nonretail_employment
3,0,0,3.103 * retail_employment + 0.634 * nonretail_employment
3,1,1,1 * retail_employment + 0.241 * nonretail_employment
3,1,0,3.103 * retail_employment + 0.634 * nonretail_employment
4,0,1,1 * enrollment
4,0,0,1 * enrollment * notairport_flag
4,1,1,1 * enrollment
4,1,0,1 * enrollment * notairport_flag
5,0,1,1 * households
5,0,0,1.132 * households * notairport_flag
5,1,1,1 * households
5,1,0,0.057 * households * notairport_flag
6,0,1,1 * retail_employment + 0.042 * nonretail_employment
6,0,0,0.623 * retail_employment + 0.18 * nonretail_employment
6,1,1,1 * retail_employment + 0.024 * nonretail_employment
6,1,0,0.941 * retail_employment + 0.208 * nonretail_employment
7,0,1,1 * retail_employment
7,0,0,1.43 * retail_employment * notairport_flag
7,1,1,1 * retail_employment
7,1,0,0.938 * retail_employment * notairport_flag
8,0,1,1 * households
8,0,0,2.309 * households * notairport_flag
8,1,1,1 * households
8,1,0,0.738 * households * notairport_flag
9,0,1,1 * retail_employment + 0.095 * nonretail_employment
9,0,0,0.383 * retail_employment + 0.106 * nonretail_employment
9,1,1,1 * retail_employment + 0.027 * nonretail_employment
9,1,0,0.641 * retail_employment + 0.158 * nonretail_employment
10,0,1,1 * retail_employment
10,0,0,0.882 * retail_employment * notairport_flag
10,1,1,1 * retail_employment
10,1,0,0.556 * retail_employment * notairport_flag
11,0,1,1 * total_employment
11,0,0,1.55 * total_employment
11,1,1,1 * total_employment
11,1,0,2.722 * total_employment
12,0,1,1 * households
12,0,0,1.414 * households * notairport_flag
12,1,1,1 * households
