trip_type,wfh_flag,cbd,weight_formula
1,0,1,0
1,0,0,0
1,1,1,0
1,1,0,0
2,0,1,0
2,0,0,0
2,1,1,0
2,1,0,0
3,0,1,0
3,0,0,0
3,1,1,0
3,1,0,0
4,0,1,0
4,0,0,0
4,1,1,0
4,1,0,0
5,0,1,0
5,0,0,0
5,1,1,0
5,1,0,0
6,0,1,0
6,0,0,0
6,1,1,0
6,1,0,0
7,0,1,0
7,0,0,0
7,1,1,0
7,1,0,0
8,0,1,1 * total_employment
8,0,0,3.048 * total_employment
8,1,1,1 * total_employment
8,1,0,6.545 * total_employment
9,0,1,1 * total_employment
9,0,0,0.765 * total_employment
9,1,1,1 * total_employment
9,1,0,2.525 * total_employment
10,0,1,1 * total_employment
10,0,0,1.901 * total_employment
10,1,1,1 * total_employment
10,1,0,4.9 * total_employment
11,0,1,1 * total_employment
11,0,0,1.837 * total_employment
11,1,1,1 * total_employment
11,1,0,2.059 * total_employment
12,0,1,1 * households
12,0,0,1.401 * households * notairport_flag
12,1,1,1 * households
12,1,0,1.01 * households * notairport_flag
13,0,1,1 * households
13,0,0,1.401 * households * notairport_flag
13,1,1,1 * households
13,1,0,1.01 * households * notairport_flag
14,0,1,1 * households
14,0,0,1.401 * households * notairport_flag
14,1,1,1 * households
14,1,0,1.01 * households * notairport_flag
15,0,1,1 * retail_employment + 0.05 * nonretail_employment
15,0,0,0.401 * retail_employment + 0.097 * nonretail_employment
15,1,1,1 * retail_employment + 0.038 * nonretail_employment
15,1,0,0.963 * retail_employment + 0.195 * nonretail_employment
16,0,1,1 * retail_employment + 0.05 * nonretail_employment
16,0,0,0.401 * retail_employment + 0.097 * nonretail_employment
16,1,1,1 * retail_employment + 0.038 * nonretail_employment
16,1,0,0.963 * retail_employment + 0.195 * nonretail_employment
17,0,1,1 * retail_employment + 0.05 * nonretail_employment
17,0,0,0.401 * retail_employment + 0.097 * nonretail_employment
17,1,1,1 * retail_employment + 0.038 * nonretail_employment
17,1,0,0.963 * retail_employment + 0.195 * nonretail_employment
18,0,1,1 * retail_employment
18,0,0,1.129 * retail_employment * notairport_flag
18,1,1,1 * retail_employment
18,1,0,1.227 * retail_employment * notairport_flag
19,0,1,1 * retail_employment
19,0,0,1.129 * retail_employment * notairport_flag
19,1,1,1 * retail_employment
19,1,0,1.227 * retail_employment * notairport_flag
20,0,1,1 * retail_employment
20,0,0,1.129 * retail_employment * notairport_flag
20,1,1,1 * retail_employment
20,1,0,1.227 * retail_employment * notairport_flag
21,0,1,0
21,0,0,0
21,1,1,0
21,1,0,0
22,0,1,0
22,0,0,0
22,1,1,0
22,1,0,0
23,0,1,0
23,0,0,0
23,1,1,0
23,1,0,0
24,0,1,0
24,0,0,0
24,1,1,0
24,1,0,0
25,0,1,1 * households
25,0,0,1.281 * households * notairport_flag
25,1,1,1 * households
25,1,0,1.281 * households * notairport_flag
26,0,1,1 * households
26,0,0,1.281 * households * notairport_flag
26,1,1,1 * households
26,1,0,1.281 * households * notairport_flag
27,0,1,1 * households
27,0,0,1.281 * households * notairport_flag
27,1,1,1 * households
27,1,0,1.281 * households * notairport_flag
28,0,1,1 * retail_employment + 0.046 * nonretail_employment
28,0,0,0.734 * retail_employment + 0.176 * nonretail_employment
28,1,1,1 * retail_employment + 0.046 * nonretail_employment
28,1,0,0.734 * retail_employment + 0.176 * nonretail_employment
29,0,1,1 * retail_employment + 0.046 * nonretail_employment
29,0,0,0.734 * retail_employment + 0.176 * nonretail_employment
29,1,1,1 * retail_employment + 0.046 * nonretail_employment
29,1,0,0.734 * retail_employment + 0.176 * nonretail_employment
30,0,1,1 * retail_employment + 0.046 * nonretail_employment
30,0,0,0.734 * retail_employment + 0.176 * nonretail_employment
30,1,1,1 * retail_employment + 0.046 * nonretail_employment
30,1,0,0.734 * retail_employment + 0.176 * nonretail_employment
31,0,1,1 * retail_employment
31,0,0,1.441 * retail_employment * notairport_flag
31,1,1,1 * retail_employment
31,1,0,1.441 * retail_employment * notairport_flag
32,0,1,1 * retail_employment
32,0,0,1.441 * retail_employment * notairport_flag
32,1,1,1 * retail_employment
32,1,0,1.441 * retail_employment * notairport_flag
33,0,1,1 * retail_employment
33,0,0,1.441 * retail_employment * notairport_flag
33,1,1,1 * retail_employment
33,1,0,1.441 * retail_employment * notairport_flag
34,0,1,0
34,0,0,0
34,1,1,0
34,1,0,0
35,0,1,0
35,0,0,0
35,1,1,0
35,1,0,0
36,0,1,0
36,0,0,0
36,1,1,0
36,1,0,0
37,0,1,0
37,0,0,0
37,1,1,0
37,1,0,0
38,0,1,1 * households
38,0,0,2.599 * households * notairport_flag
38,1,1,1 * households
38,1,0,2.599 * households * notairport_flag
39,0,1,1 * households
39,0,0,2.599 * households * notairport_flag
39,1,1,1 * households
39,1,0,2.599 * households * notairport_flag
40,0,1,1 * households
40,0,0,2.599 * households * notairport_flag
40,1,1,1 * households
40,1,0,2.599 * households * notairport_flag
41,0,1,1 * households
41,0,0,22 * households * notairport_flag
41,1,1,1 * households
41,1,0,22 * households * notairport_flag
42,0,1,1 * households
42,0,0,22 * households * notairport_flag
42,1,1,1 * households
42,1,0,22 * households * notairport_flag
43,0,1,1 * households
43,0,0,22 * households * notairport_flag
