cat,indus,pct
usualwfh,11,0.008047136
usualwfh,21,0.000241793
usualwfh,22,0.001520277
usualwfh,23,0.010976151
usualwfh,42,0.008561413
usualwfh,51,0.094388409
usualwfh,52,0.072770772
usualwfh,53,0.046357401
usualwfh,54,0.238925264
usualwfh,55,0.000970448
usualwfh,56,0.052051711
usualwfh,61,0.056499417
usualwfh,62,0.098853471
usualwfh,71,0.040534671
usualwfh,72,0.010214478
usualwfh,81,0.074673805
usualwfh,92,0.01859708
usualwfh,31-33,0.087126013
usualwfh,44-45,0.059495501
usualwfh,48-49,0.019194789
tc14,11,0.002824276
tc14,21,0.002096087
tc14,22,0.00769406
tc14,23,0.011402266
tc14,42,0.02885879
tc14,51,0.064795536
tc14,52,0.127675372
tc14,53,0.034332395
tc14,54,0.228149863
tc14,55,0.004037366
tc14,56,0.040566457
tc14,61,0.08214692
tc14,62,0.062037266
tc14,71,0.018535731
tc14,72,0.015823183
tc14,81,0.074659766
tc14,92,0.041934601
tc14,31-33,0.100680578
tc14,44-45,0.031221199
tc14,48-49,0.020528289
