# This file describes the share of single occupant vehicles
# to put into each of the value of time buckets.  If a row 
# does not sum to 1.0, the values will be scaled linearly so
# that the totals are 1 and all trips are assigned to a bucket.
Purpose,Income Group,Low VOT,Mid VOT,High VOT
HBWL,1,0.648,0.333,0.018
HBWL,2,0.383,0.537,0.08
HBWH,3,0.197,0.605,0.198
HBWH,4,0.197,0.605,0.198
HBWH,5,0.036,0.425,0.53
HBO,1,0.648,0.333,0.018
HBO,2,0.383,0.537,0.08
HBO,3,0.197,0.605,0.198
HBO,4,0.197,0.605,0.198
HBO,5,0.036,0.425,0.53
HBS,1,0.648,0.333,0.018
HBS,2,0.383,0.537,0.08
HBS,3,0.197,0.605,0.198
HBS,4,0.197,0.605,0.198
HBS,5,0.036,0.425,0.53
NHB,1,0.648,0.333,0.018
NHB,2,0.383,0.537,0.08
NHB,3,0.197,0.605,0.198
NHB,4,0.197,0.605,0.198
NHB,5,0.036,0.425,0.53
VISIT,-1,0.333,0.334,0.333
DEAD,-1,0.9,0.09,0.01
