CODE,N_CHILDREN,N_WORKERS,N_ADULTS,N_VEHICLES,HOUSEHOLDER_AGE
1,0,0,1,0,<35
2,0,0,2,0,<35
3,0,0,3,0,<35
4,0,0,4+,0,<35
5,0,1,1,0,<35
6,0,1,2,0,<35
7,0,1,3,0,<35
8,0,1,4+,0,<35
9,0,2,2,0,<35
10,0,2,3,0,<35
11,0,2,4+,0,<35
12,0,3+,3,0,<35
13,0,3+,4+,0,<35
14,1,0,1,0,<35
15,1,0,2,0,<35
16,1,0,3,0,<35
17,1,0,4+,0,<35
18,1,1,1,0,<35
19,1,1,2,0,<35
20,1,1,3,0,<35
21,1,1,4+,0,<35
22,1,2,2,0,<35
23,1,2,3,0,<35
24,1,2,4+,0,<35
25,1,3+,3,0,<35
26,1,3+,4+,0,<35
27,2,0,1,0,<35
28,2,0,2,0,<35
29,2,0,3,0,<35
30,2,0,4+,0,<35
31,2,1,1,0,<35
32,2,1,2,0,<35
33,2,1,3,0,<35
34,2,1,4+,0,<35
35,2,2,2,0,<35
36,2,2,3,0,<35
37,2,2,4+,0,<35
38,2,3+,3,0,<35
39,2,3+,4+,0,<35
40,3+,0,1,0,<35
41,3+,0,2,0,<35
42,3+,0,3,0,<35
43,3+,0,4+,0,<35
44,3+,1,1,0,<35
45,3+,1,2,0,<35
46,3+,1,3,0,<35
47,3+,1,4+,0,<35
48,3+,2,2,0,<35
49,3+,2,3,0,<35
50,3+,2,4+,0,<35
51,3+,3+,3,0,<35
52,3+,3+,4+,0,<35
53,0,0,1,1,<35
54,0,0,2,1,<35
55,0,0,3,1,<35
56,0,0,4+,1,<35
57,0,1,1,1,<35
58,0,1,2,1,<35
59,0,1,3,1,<35
60,0,1,4+,1,<35
61,0,2,2,1,<35
62,0,2,3,1,<35
63,0,2,4+,1,<35
64,0,3+,3,1,<35
65,0,3+,4+,1,<35
66,1,0,1,1,<35
67,1,0,2,1,<35
68,1,0,3,1,<35
69,1,0,4+,1,<35
70,1,1,1,1,<35
71,1,1,2,1,<35
72,1,1,3,1,<35
73,1,1,4+,1,<35
74,1,2,2,1,<35
75,1,2,3,1,<35
76,1,2,4+,1,<35
77,1,3+,3,1,<35
78,1,3+,4+,1,<35
79,2,0,1,1,<35
80,2,0,2,1,<35
81,2,0,3,1,<35
82,2,0,4+,1,<35
83,2,1,1,1,<35
84,2,1,2,1,<35
85,2,1,3,1,<35
86,2,1,4+,1,<35
87,2,2,2,1,<35
88,2,2,3,1,<35
89,2,2,4+,1,<35
90,2,3+,3,1,<35
91,2,3+,4+,1,<35
92,3+,0,1,1,<35
93,3+,0,2,1,<35
94,3+,0,3,1,<35
95,3+,0,4+,1,<35
96,3+,1,1,1,<35
97,3+,1,2,1,<35
98,3+,1,3,1,<35
99,3+,1,4+,1,<35
100,3+,2,2,1,<35
101,3+,2,3,1,<35
102,3+,2,4+,1,<35
103,3+,3+,3,1,<35
104,3+,3+,4+,1,<35
105,0,0,1,2,<35
106,0,0,2,2,<35
107,0,0,3,2,<35
108,0,0,4+,2,<35
109,0,1,1,2,<35
110,0,1,2,2,<35
111,0,1,3,2,<35
112,0,1,4+,2,<35
113,0,2,2,2,<35
114,0,2,3,2,<35
115,0,2,4+,2,<35
116,0,3+,3,2,<35
117,0,3+,4+,2,<35
118,1,0,1,2,<35
119,1,0,2,2,<35
120,1,0,3,2,<35
121,1,0,4+,2,<35
122,1,1,1,2,<35
123,1,1,2,2,<35
124,1,1,3,2,<35
125,1,1,4+,2,<35
126,1,2,2,2,<35
127,1,2,3,2,<35
128,1,2,4+,2,<35
129,1,3+,3,2,<35
130,1,3+,4+,2,<35
131,2,0,1,2,<35
132,2,0,2,2,<35
133,2,0,3,2,<35
134,2,0,4+,2,<35
135,2,1,1,2,<35
136,2,1,2,2,<35
137,2,1,3,2,<35
138,2,1,4+,2,<35
139,2,2,2,2,<35
140,2,2,3,2,<35
141,2,2,4+,2,<35
142,2,3+,3,2,<35
143,2,3+,4+,2,<35
144,3+,0,1,2,<35
145,3+,0,2,2,<35
146,3+,0,3,2,<35
147,3+,0,4+,2,<35
148,3+,1,1,2,<35
149,3+,1,2,2,<35
150,3+,1,3,2,<35
151,3+,1,4+,2,<35
152,3+,2,2,2,<35
153,3+,2,3,2,<35
154,3+,2,4+,2,<35
155,3+,3+,3,2,<35
156,3+,3+,4+,2,<35
157,0,0,1,3+,<35
158,0,0,2,3+,<35
159,0,0,3,3+,<35
160,0,0,4+,3+,<35
161,0,1,1,3+,<35
162,0,1,2,3+,<35
163,0,1,3,3+,<35
164,0,1,4+,3+,<35
165,0,2,2,3+,<35
166,0,2,3,3+,<35
167,0,2,4+,3+,<35
168,0,3+,3,3+,<35
169,0,3+,4+,3+,<35
170,1,0,1,3+,<35
171,1,0,2,3+,<35
172,1,0,3,3+,<35
173,1,0,4+,3+,<35
174,1,1,1,3+,<35
175,1,1,2,3+,<35
176,1,1,3,3+,<35
177,1,1,4+,3+,<35
178,1,2,2,3+,<35
179,1,2,3,3+,<35
180,1,2,4+,3+,<35
181,1,3+,3,3+,<35
182,1,3+,4+,3+,<35
183,2,0,1,3+,<35
184,2,0,2,3+,<35
185,2,0,3,3+,<35
186,2,0,4+,3+,<35
187,2,1,1,3+,<35
188,2,1,2,3+,<35
189,2,1,3,3+,<35
190,2,1,4+,3+,<35
191,2,2,2,3+,<35
192,2,2,3,3+,<35
193,2,2,4+,3+,<35
194,2,3+,3,3+,<35
195,2,3+,4+,3+,<35
196,3+,0,1,3+,<35
197,3+,0,2,3+,<35
198,3+,0,3,3+,<35
199,3+,0,4+,3+,<35
200,3+,1,1,3+,<35
201,3+,1,2,3+,<35
202,3+,1,3,3+,<35
203,3+,1,4+,3+,<35
204,3+,2,2,3+,<35
205,3+,2,3,3+,<35
206,3+,2,4+,3+,<35
207,3+,3+,3,3+,<35
208,3+,3+,4+,3+,<35
209,0,0,1,0,35-64
210,0,0,2,0,35-64
211,0,0,3,0,35-64
212,0,0,4+,0,35-64
213,0,1,1,0,35-64
214,0,1,2,0,35-64
215,0,1,3,0,35-64
216,0,1,4+,0,35-64
217,0,2,2,0,35-64
218,0,2,3,0,35-64
219,0,2,4+,0,35-64
220,0,3+,3,0,35-64
221,0,3+,4+,0,35-64
222,1,0,1,0,35-64
223,1,0,2,0,35-64
224,1,0,3,0,35-64
225,1,0,4+,0,35-64
226,1,1,1,0,35-64
227,1,1,2,0,35-64
228,1,1,3,0,35-64
229,1,1,4+,0,35-64
230,1,2,2,0,35-64
231,1,2,3,0,35-64
232,1,2,4+,0,35-64
233,1,3+,3,0,35-64
234,1,3+,4+,0,35-64
235,2,0,1,0,35-64
236,2,0,2,0,35-64
237,2,0,3,0,35-64
238,2,0,4+,0,35-64
239,2,1,1,0,35-64
240,2,1,2,0,35-64
241,2,1,3,0,35-64
242,2,1,4+,0,35-64
243,2,2,2,0,35-64
244,2,2,3,0,35-64
245,2,2,4+,0,35-64
246,2,3+,3,0,35-64
247,2,3+,4+,0,35-64
248,3+,0,1,0,35-64
249,3+,0,2,0,35-64
250,3+,0,3,0,35-64
251,3+,0,4+,0,35-64
252,3+,1,1,0,35-64
253,3+,1,2,0,35-64
254,3+,1,3,0,35-64
255,3+,1,4+,0,35-64
256,3+,2,2,0,35-64
257,3+,2,3,0,35-64
258,3+,2,4+,0,35-64
259,3+,3+,3,0,35-64
260,3+,3+,4+,0,35-64
261,0,0,1,1,35-64
262,0,0,2,1,35-64
263,0,0,3,1,35-64
264,0,0,4+,1,35-64
265,0,1,1,1,35-64
266,0,1,2,1,35-64
267,0,1,3,1,35-64
268,0,1,4+,1,35-64
269,0,2,2,1,35-64
270,0,2,3,1,35-64
271,0,2,4+,1,35-64
272,0,3+,3,1,35-64
273,0,3+,4+,1,35-64
